prov	tahun	pm	p1	rls	hh	ppk	p2
1	1	20.98	4.11	8.28	69.08	7934	1.26
1	2	19.57	3.5	8.32	69.15	8044	0.94
1	3	18.58	3.07	8.36	69.23	8134	0.99
1	4	17.72	3.2	8.44	69.31	8289	0.85
1	5	16.98	3.14	8.71	69.35	8297	0.72
1	6	17.11	3.11	8.77	69.5	8533	0.83
1	7	16.43	3.06	8.86	69.51	8768	1
1	8	15.92	2.92	8.98	69.52	8957	0.81
1	9	15.68	2.8	9.09	69.64	9186	0.75
1	10	15.01	2.64	9.18	69.87	9603	0.66
2	1	6.51	0.93	7.07	69.15	10707	0.23
2	2	5.75	0.66	7.19	69.31	10808	0.13
2	3	5.37	0.66	7.25	69.48	11218	0.08
2	4	5.25	0.62	7.32	69.64	11657	0.11
2	5	4.97	0.6	7.35	69.72	11691	0.16
2	6	4.83	0.9	7.46	69.88	11781	0.14
2	7	5.04	0.75	7.62	69.92	11960	0.15
2	8	5.3	0.57	7.78	69.95	12066	0.08
2	9	4.77	0.73	7.84	70.18	12666	0.14
2	10	4.5	0.51	7.98	70.5	12959	0.1
3	1	4.88	0.71	7.74	70.61	12074	0.14
3	2	4.2	0.66	7.77	70.78	12307	0.16
3	3	3.95	0.39	8.05	70.94	12530	0.12
3	4	4.49	0.7	8.1	71.11	12738	0.1
3	5	4.76	0.86	8.11	71.19	12831	0.07
3	6	5.25	1.13	8.26	71.35	13078	0.14
3	7	4.15	0.53	8.36	71.41	13279	0.09
3	8	4.14	0.55	8.55	71.46	13573	0.16
3	9	3.91	0.52	8.65	71.68	13886	0.18
3	10	3.61	0.53	8.84	71.99	14146	0.11
4	1	7.16	1	7.92	68.5	10777	0.24
4	2	6.32	0.9	7.95	68.68	10933	0.2
4	3	5.71	0.95	8.06	68.86	11008	0.15
4	4	5.89	1.02	8.17	69.04	11061	0.16
4	5	5.51	0.79	8.19	69.13	11150	0.19
4	6	5.75	0.9	8.27	69.43	11261	0.23
4	7	5.36	0.76	8.37	69.46	11469	0.17
4	8	5.59	0.78	8.53	69.49	11659	0.19
4	9	5.25	0.91	8.62	69.64	11994	0.2
4	10	4.94	0.76	8.74	69.84	12267	0.18
5	1	18.3	2.75	7.85	67.82	8459	0.69
5	2	17.5	2.6	7.93	67.98	8572	0.62
5	3	17.51	3.05	8.01	68.16	8682	1.4
5	4	17.75	3.24	8.09	68.33	8803	0.74
5	5	17.09	2.85	8.28	68.36	8864	0.7
5	6	17.16	3.63	8.29	68.5	9123	0.97
