Bulan,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Januari,1.36,1.04,1.77,-0.07,0.84,0.89,0.76,1.03,1.07,-0.24,0.51,0.97,0.62,0.32,0.39,0.26,0.56,0.34
Februari,0.58,0.62,0.65,0.21,0.30,0.13,0.05,0.75,0.26,-0.36,-0.09,0.23,0.17,-0.08,0.28,0.10,-0.02,0.16
Maret,0.03,0.24,0.95,0.22,-0.14,-0.32,0.07,0.63,0.08,0.17,0.19,-0.02,0.20,0.11,0.10,0.08,0.66,0.18
April,0.05,-0.16,0.57,-0.31,0.15,-0.31,0.21,-0.10,-0.02,0.36,-0.45,0.09,0.10,0.44,0.08,0.13,0.95,0.33
Mei,0.37,0.10,1.41,0.04,0.29,0.12,0.07,-0.03,0.16,0.50,0.24,0.39,0.21,0.68,0.07,0.32,0.40,0.09
Juni,0.45,0.23,2.46,0.11,0.97,0.55,0.62,1.03,0.43,0.54,0.66,0.69,0.59,0.55,0.18,-0.16,0.61,0.14
Juli,0.45,0.72,1.37,0.45,1.57,0.67,0.70,3.29,0.93,0.93,0.69,0.22,0.28,0.31,-0.10,0.08,0.64,0.21
Agustus,0.33,0.75,0.51,0.56,0.76,0.93,0.95,1.12,0.47,0.39,-0.02,-0.07,-0.05,0.12,-0.05,0.03,-0.21,-0.02
September,0.38,0.80,0.97,1.05,0.44,0.27,0.01,-0.35,0.27,-0.05,0.22,0.13,-0.18,-0.27,-0.05,-0.04,1.17,0.19
Oktober,0.86,0.79,0.45,0.19,0.06,-0.12,0.16,0.09,0.47,-0.08,0.14,0.01,0.28,0.02,0.07,0.12,-0.11,0.17
November,0.34,0.18,0.12,-0.03,0.60,0.34,0.07,0.12,1.50,0.21,0.47,0.20,0.27,0.14,0.28,0.37,0.09,
Desember,1.21,1.10,-0.04,0.33,0.92,0.57,0.54,0.55,2.46,0.96,0.42,0.71,0.62,0.34,0.45,0.57,0.66,
